# Koordinaten-Liste (Lat, Lon)
# Export: 08.10.2025 07:25:29
# Gesamt: 493 Koordinaten

51.015777,13.792985  # "auto-kavalier"- admiral
51.183668,14.403084  # 1#ls6259094
50.988492,13.991496  # 1a Autoservice Alexander Heidecke
51.120311,13.732805  # 1a autoservice Menzel
51.039896,13.704048  # 1a autoservice oehlschläger
51.013179,13.804567  # 36 nici zu rp
51.015222,13.642348  # 41 roswitha
51.014176,13.644937  # A.T.U-Filiale Freital
50.991865,13.798266  # ACR bei Endlich
51.189610,14.017359  # AH Franke GmbH & Co.KG Pulsn.
51.129488,13.913193  # AH Franke GmbH & Co.KG Radeb.
51.014796,13.643299  # AIS Dresden GmbH
50.591530,12.704914  # AUTECHNA
51.005475,13.821373  # AUTOBOX DRESDEN GmbH
50.717923,13.188588  # AUTOTEILE BRNER
51.014642,13.775192  # Adrian Glckner Automobile GmbH
51.042570,13.782165  # Alf Hse - Autoservice
51.061936,13.845764  # Andreas Knop
51.004580,13.811222  # Andr Zerbst
50.659977,13.152692  # Autechna Autoteile
51.010943,13.810806  # Auto Eggert
51.015209,13.788057  # Auto Jrgen Pfeiffer KG
51.012565,13.669994  # Auto Kaden KG
50.834884,13.293395  # Auto Lippmann
51.074295,13.736496  # Auto Petzold GmbH
51.026666,13.803108  # Auto Trentzsch GbR
51.005876,13.819853  # Auto Werft Dresden
50.897229,13.690172  # Auto mobile DW GmbH
50.909888,13.735995  # Auto-Reparatur-Dienst
50.839445,13.628246  # Auto-Service Becker
50.988759,13.848905  # Auto-Service Mller GbR
50.897372,13.688931  # Auto-Service Wagner
51.017821,13.769317  # Auto-Service-Center Dresden
51.100701,13.998016  # Auto-Walther GmbH & Co.KG
51.204209,13.731527  # Auto-Walther GmbH & Co.KG
51.098227,13.993339  # Auto-Walther GmbH & Co.KG
51.016863,13.788741  # Auto23 GmbH
51.061567,13.711926  # Autocenter Dresden GmbH
50.984296,13.633384  # Autocenter Freital OHG
51.112148,13.732000  # Autoglas Peschel GmbH
51.016966,13.729332  # Autohaus Dresden GmbH
50.927334,13.930813  # Autohaus Gaebel GmbH &Co.KG
50.991390,13.696109  # Autohaus Hardtke GmbH
50.916696,13.978005  # Autohaus Huth
50.988586,13.812236  # Autohaus Israel GmbH & Co. KG
50.887968,13.669344  # Autohaus Liliensiek GmbH
51.039816,13.651572  # Autohaus Liliensiek GmbH
51.060033,13.699001  # Autohaus Melkus GmbH
50.833607,13.680782  # Autohaus Rettberg GmbH
50.957195,13.929071  # Autohaus Welde GmbH
51.089871,13.705012  # Autohaus Zimmermann
51.016171,13.668523  # Autohof Dhlen
50.957448,13.926658  # Automobile Dresden
50.764557,13.757306  # Automobile Irrgang eGbR
51.054616,13.536193  # Autopflege und Reifendienst
51.049036,13.686698  # Autoservice Bernhardt
51.016586,13.797959  # Autoservice Grtner
51.003927,13.615274  # Autoservice Hammer
51.012433,13.795751  # Autoservice Hartmann
51.119229,13.738258  # Autoservice Hartmann
50.983982,13.595533  # Autoservice Kpnick
51.095628,13.659474  # Autoservice Matthes
51.041878,13.678604  # Autoservice Reichert GmbH
51.123930,13.583820  # Autoteam Schade
50.762192,13.767371  # Autoteile Heiko Ungermann
50.701800,12.445094  # Autoteile und Zubehr
51.127964,13.705080  # Autowerkstatt MAUDRICH GmbH
51.003115,13.679312  # BRAUNE Autolackierbedarf GmbH
51.164643,13.727755  # Bernd Schmiedgen
51.015285,13.662913  # Blizzboy Rthig
50.999933,13.609265  # Boxenstop KFZ-Meisterwerkstatt
51.104161,13.921993  # CAR POINT
51.029123,13.703702  # CSM
51.119402,13.587409  # Classic Style
51.009846,13.655532  # Die Maler GmbH
51.047422,13.708650  # Die Meister
51.047422,13.708650  # Die Meister
51.057225,13.772409  # Dietmar Beerwart
51.136240,13.482824  # Dieáner & Mske GbR
50.895606,13.670132  # Dippser-Auto-Ecke
51.115506,13.747607  # Dirk Krause
50.979939,13.564157  # Dressel Montage
50.959770,13.921781  # ERSA Automotive
51.172383,13.541191  # Elektroinstallation
50.902577,13.978764  # Elektroinstallation Hennig
51.011199,13.701648  # FAMO Fahrzeug-und Motorenteile GmbH
51.384443,12.524554  # FAMO Fahrzeug-und Motorenteile GmbH
51.702996,14.363082  # FAMO Fahrzeug-und Motorenteile GmbH
50.997686,13.645170  # FREIE KFZ-WERKSTATT
50.654184,13.326081  # Fa. Flade Thomas
51.129251,13.546257  # Fa.Wilms
51.015328,13.574580  # Fahrzeug und Systemtechnik Ehring GmbH
51.013205,13.778461  # Fahrzeugservice Kretzschmar
51.119532,13.580880  # Fahrzeugservice u.
